TEL,specurl,お店名ふりがな,エリア,ホームページ,住所,使用麺,受入人数,営業時間,地図,定休日,店名,料金目安,業種,焼き方,調査員おすすめメニュー,調査員が見た特徴,駐車場
0544-27-0004,https://umya-yakisoba.com/shop/3776/,あき,まちなか,,富士宮市野中東町112-1,,12,10:00－21:00,B6,火曜日,お好焼 あき,350～600円,飲食店,お店,キムチとチーズ入り,キャベツとネギが多めに入っている,4
0544-22-3029,https://umya-yakisoba.com/shop/3777/,あさや,まちなか,,富士宮市元城町13-20,,10,7:00－19:00,C4,なし,あさ家,400円～,飲食店,お店,塩焼そば,具だくさん大盛、朝定食あり,なし
0544-27-6005,https://umya-yakisoba.com/shop/3774/,あるばとろす,郊外・北部,,富士宮市淀師523-4,,30,11：00～21：00（休憩14：00～17：00）,,月曜日（第4週日・月連休）,あるばとろす,500円～,飲食店,,,,10
0544-26-3849,https://umya-yakisoba.com/shop/3616/,いっぷくてい,まちなか,,富士宮市宮町2-9,曽我麺,20,平日11:00-16:00土日祝11:0017:00,B4,月曜・第3日曜,いっぷく亭,550〜750円,鉄板焼・軽食,お店,焼きそば、ピリ辛焼きそば,麺はもちもちでコシのある歯ごたえが好評で、野菜は細く切り麺とソースと絡んで食べやすく,なし
0544-27-6494,https://umya-yakisoba.com/shop/3772/,いとう,まちなか,https://tabelog.com/shizuoka/A2204/A220401/22002448/,富士宮市淀師468-2,,50（3部屋あり）,10:30－17:00※材料がなくなり次第終了,A1,月曜・火曜,お好み食堂伊東,550〜850円,飲食店,お店,五目焼きそば,大きな鉄板でアツアツをどうぞ。,25
0544-22-1104,https://umya-yakisoba.com/shop/3779/,うめづ,郊外・北部,,富士宮市外神1273-5,,25,11:00-19:30,E4,火曜日,焼きそばお好みうめづ,500円〜,飲食店,,焼そば五目、お値打ち価格,インパクトのあるL字型の大きな鉄板が魅力のお店です。,10
0544-24-7155,https://umya-yakisoba.com/shop/3618/,うるおいてい,まちなか,http://www.uruoi-tei.com/,富士宮市淀師415-2,,70,火－金11:30-14:00 16：30-18：30土日祝 11：00-18：00,A1,月曜・第3火曜,うるおいてい,550〜850円,富士宮やきそば店・鉄板焼,お店・お客,うるおい焼きそば、富士宮ネギネギ,国産小麦100％使用のうるおい焼きそばが絶品!!,20
0544-27-0237,https://umya-yakisoba.com/shop/3778/,おおさかや,まちなか,http://shizuoka.j47.jp/osakaya/,富士宮市元城町12-10,,20,10:00－20:00,C4,火曜日,大阪屋,300〜700円,飲食店,お店,イカ、肉、たまご、(全部入った）ミックス焼きそば,開店47年に入った古いお店です。長い鉄板が入り口から奥まで繋がった長細い店です。,6
0544-27-0207,https://umya-yakisoba.com/shop/3780/,かいゆう,まちなか,,富士宮市西町28-9,,18,18:00-22:30,,日曜・月曜,海友,600円〜,,お店,焼きそば、モツ炒め,もつ煮込みは20年近く販売していて大人気メニューです,2
0544-23-5932,https://umya-yakisoba.com/shop/3782/,きっちんととろ,まちなか,,富士宮市中央町7-18,,15,11:00－17:00,C5,日曜日,キッチントトロ,550〜750円,,お店,ドリア,すべて手作り,2
